Edad,Ingreso Anual (€),Porcentaje Ahorro (%),Ahorro Actual (€),Gasto Mensual (€),Vida Esperada (años),Edad de Jubilación,Años Hasta Jubilación
50,15046.02,22.45,101333.88,972.35,80.31,65,15
39,18387.64,28.9,100951.59,1089.53,80.42,66,27
62,16914.17,13.75,97678.56,1215.71,83.96,65,3
61,31321.71,20.69,265697.38,2070.11,82.67,66,5
59,58497.59,17.79,405910.37,4007.47,81.26,63,4
23,23515.52,17.05,12028.51,1625.5,75.75,64,41
51,38058.42,20.81,245510.87,2511.56,77.92,66,15
32,15000.0,12.76,22965.25,1090.52,85.46,65,33
35,71004.8,21.02,223830.84,4673.56,80.61,67,32
58,15000.0,21.82,124382.77,977.23,90.0,62,4
60,40373.28,25.9,418312.92,2492.95,90.0,63,3
34,26090.09,23.26,84967.19,1668.42,77.41,63,29
55,15000.0,12.99,68220.4,1087.57,88.61,67,12
36,33430.57,16.27,87026.47,2332.62,81.33,67,31
44,21708.51,8.01,41729.56,1664.15,82.73,62,18
37,15000.0,11.43,29152.5,1107.1,85.51,64,27
38,22145.0,18.02,71843.97,1512.81,87.01,62,24
62,15000.0,7.52,47369.82,1156.01,78.39,65,3
37,17306.22,19.27,56679.18,1164.35,90.0,64,27
36,15000.0,14.76,35416.75,1065.54,83.4,63,27
41,20106.63,5.87,24781.89,1577.21,75.0,65,24
44,15000.0,15.86,57100.31,1051.74,80.69,66,22
54,15000.0,12.03,61345.37,1099.64,90.0,64,10
56,15000.0,6.67,36041.95,1166.57,79.04,66,10
63,21608.59,12.33,114606.01,1578.61,90.0,64,1
47,15000.0,12.35,50027.13,1095.6,82.62,63,16
59,27743.95,13.88,150149.37,1991.16,81.98,64,5
37,31289.7,14.16,75330.53,2238.21,76.75,65,28
45,15000.0,15.74,59041.08,1053.2,85.08,64,19
58,44144.99,7.3,122440.64,3410.24,80.36,63,5
62,18930.88,5.13,40803.94,1496.61,81.9,63,1
41,55037.31,23.4,270455.43,3513.21,80.94,67,26
24,19344.98,13.43,10394.95,1395.52,86.21,63,39
45,15000.0,20.34,76276.1,995.75,80.98,66,21
50,40702.54,12.68,154782.02,2961.93,75.0,64,14
53,15000.0,29.6,146543.18,879.94,77.76,67,14
59,38903.99,12.89,195507.76,2824.25,75.41,67,8
46,23395.82,20.13,122425.4,1557.26,89.41,66,20
45,16681.52,10.5,43785.99,1244.17,84.99,65,20
36,15000.0,17.95,43068.14,1025.69,82.24,65,29
44,21096.81,19.48,98648.39,1415.54,81.02,64,20
25,30943.68,9.57,14807.48,2331.85,75.0,62,37
62,21589.34,8.09,73368.83,1653.54,80.87,62,0
59,46154.71,29.34,528130.45,2717.74,86.76,64,5
33,15000.0,27.33,53296.8,908.35,86.09,67,34
50,20987.73,21.5,135381.44,1372.92,84.14,63,13
27,38190.04,26.53,70912.99,2338.3,75.04,64,37
37,15000.0,7.39,18841.97,1157.64,78.34,65,28
47,37054.01,23.23,232450.56,2370.39,83.86,64,17
55,22245.57,12.14,94522.26,1628.74,76.26,61,6
25,23273.23,18.49,21513.0,1580.89,85.61,64,39
62,18587.11,24.12,188297.54,1175.32,75.34,66,4
25,15000.0,5.84,4377.74,1177.04,76.49,67,42
44,21175.4,22.37,113691.34,1369.86,75.38,63,19
27,16682.38,15.87,18534.4,1169.55,79.53,67,40
27,47200.17,15.99,52837.17,3304.33,75.0,67,40
34,28430.32,27.68,110180.93,1713.35,79.57,64,30
35,22409.7,26.49,89056.42,1372.72,77.44,61,26
25,42568.49,6.44,13703.53,3318.98,78.58,66,41
57,21417.08,20.46,162114.81,1419.63,85.35,63,6
24,31302.1,15.9,19903.32,2193.86,81.95,66,42
50,39423.05,7.95,93969.11,3024.23,85.34,65,15
40,19223.08,26.28,101022.2,1181.0,90.0,63,23
46,27377.33,6.79,48316.12,2126.58,75.0,65,19
29,17705.92,5.8,9246.37,1389.88,79.28,66,37
50,39069.27,9.94,116479.82,2932.22,76.85,64,14
64,21728.46,12.58,120314.22,1582.84,78.52,66,2
42,43709.03,6.52,62715.65,3404.86,83.88,64,22
60,24329.1,21.03,204683.53,1601.0,90.0,67,7
61,78663.24,15.93,513732.9,5511.1,85.22,63,2
64,15466.37,15.3,104151.75,1091.61,84.43,66,2
50,33855.31,8.63,87687.12,2577.7,87.2,66,16
40,21556.3,15.94,68741.87,1509.93,89.46,65,25
48,19681.69,14.75,81308.25,1398.15,90.0,64,16
27,15000.0,14.59,15320.62,1067.61,84.44,64,37
24,22842.79,10.46,9561.24,1704.37,77.19,65,41
48,15000.0,7.36,30915.92,1157.99,80.3,65,17
55,18866.75,11.52,76055.53,1391.14,75.0,66,11
53,15000.0,21.68,107324.68,978.98,85.83,64,11
27,15000.0,6.82,7164.24,1164.71,77.74,62,35
29,15000.0,14.56,19653.45,1068.02,78.42,65,36
54,15000.0,17.86,91082.97,1026.76,83.77,63,9
59,15000.0,29.08,170110.95,886.52,75.0,65,6
62,26585.11,26.1,291377.13,1637.3,87.16,65,3
54,22226.68,27.92,210958.17,1335.17,84.78,66,12
33,31379.06,25.5,104021.74,1948.12,79.83,65,32
49,18107.0,19.73,103591.6,1211.24,81.75,64,15
55,15837.31,26.52,147000.04,969.78,78.65,62,7
30,21079.73,19.13,40328.01,1420.58,90.0,62,32
50,31283.62,13.94,130862.82,2243.46,77.42,65,15
64,25589.05,14.31,161102.59,1827.3,83.61,67,3
46,22169.45,19.14,110304.1,1493.91,80.69,64,18
55,30705.33,25.24,271207.8,1913.04,82.27,65,10
48,22082.15,8.34,51574.38,1686.68,84.56,65,17
49,16386.89,5.98,28425.89,1283.89,84.76,64,15
26,34674.86,24.74,51469.73,2174.71,80.22,62,36
23,15000.0,21.19,9535.41,985.13,76.19,65,42
49,15000.0,25.53,111067.5,930.84,78.34,62,13
22,21753.48,29.42,12798.4,1279.52,79.7,65,43
42,22992.35,11.28,57082.34,1699.81,79.02,66,24
47,24748.28,9.86,65866.84,1859.06,76.79,61,14
42,18698.4,13.52,55634.88,1347.46,84.24,64,22
30,43327.49,26.95,116763.51,2637.6,75.22,66,36
39,15000.0,5.35,15244.93,1183.14,81.74,65,26
44,23564.4,5.26,29766.39,1860.34,75.0,63,19
47,32187.17,10.42,90552.42,2402.78,87.46,65,18
56,44010.16,14.4,228115.53,3139.47,78.93,66,10
63,42923.03,12.56,231793.84,3127.71,78.36,64,1
37,15000.0,25.62,65338.51,929.71,77.52,63,26
30,26398.68,22.24,58718.73,1710.57,90.0,65,35
37,19790.9,25.95,87293.57,1221.33,88.64,64,27
64,21818.77,14.59,140106.22,1552.88,82.27,66,2
30,38830.64,19.9,77254.56,2592.1,79.49,66,36
30,56952.04,17.89,101866.62,3897.11,90.0,64,34
58,25095.79,16.87,160861.56,1738.55,84.49,64,6
37,15000.0,12.2,31116.58,1097.47,80.72,67,30
46,15000.0,22.73,88649.01,965.87,79.19,62,16
46,21520.26,18.1,101278.49,1468.74,86.09,66,20
54,36271.31,6.97,85894.94,2812.08,80.9,64,10
24,15000.0,5.01,3007.84,1187.34,75.31,62,38
47,20018.5,5.51,29770.59,1576.32,82.86,62,15
41,49461.72,6.9,71657.05,3837.46,83.19,63,22
56,18065.51,14.27,92831.22,1290.57,82.22,65,9
58,52914.09,12.64,254189.96,3852.07,84.53,67,9
51,17762.8,8.92,49096.0,1348.26,80.38,64,13
27,34618.21,17.89,43343.25,2368.86,82.04,63,36
64,22889.34,29.25,294631.54,1349.43,81.95,64,0
54,32477.97,9.02,99574.9,2462.44,75.31,63,9
38,60133.39,11.26,121930.16,4446.62,85.51,63,25
44,27169.09,16.55,107932.43,1889.33,84.75,67,23
33,41379.33,21.02,113078.64,2723.41,86.95,65,32
33,15000.0,20.01,39012.19,999.92,76.95,66,33
45,15000.0,18.03,67612.43,1024.63,79.89,63,18
25,15000.0,23.43,17573.78,957.1,87.55,65,40
59,15000.0,26.15,152969.54,923.14,79.12,65,6
49,47034.34,29.97,408846.5,2744.68,90.0,66,17
64,25996.86,16.64,190313.04,1805.96,75.0,61,0
53,19269.89,29.87,189970.11,1126.1,79.17,67,14
44,24394.12,23.26,136192.3,1559.95,79.68,62,18
30,30949.07,21.43,66334.83,2026.3,85.82,67,37
45,32508.37,20.99,170604.57,2140.35,90.0,62,17
61,24570.18,27.77,279734.64,1478.95,83.52,65,4
30,43974.21,28.7,126198.77,2612.86,75.0,62,32
59,15000.0,9.46,55354.65,1131.72,81.59,64,5
36,18484.12,17.34,51269.31,1273.32,82.62,63,27
48,39542.5,28.54,315950.49,2354.88,83.97,64,16
32,35531.63,14.55,62050.26,2530.06,81.61,65,33
64,26513.64,10.82,126190.11,1970.47,88.53,64,0
52,16790.05,7.57,40652.49,1293.3,77.56,61,9
49,32655.99,19.93,188746.02,2178.96,76.85,67,18
47,15000.0,22.51,91152.62,968.66,78.94,62,15
46,39775.55,9.89,102265.41,2986.86,90.0,67,21
23,47139.26,21.84,30886.99,3070.3,81.1,67,44
46,16513.62,27.49,118031.51,997.83,87.74,65,19
59,80351.39,11.09,347511.7,5953.4,87.65,63,4
21,15000.0,8.05,1207.5,1149.38,75.0,62,41
55,20040.01,25.89,181561.67,1237.71,81.72,65,10
47,19794.88,27.91,149174.45,1189.16,87.6,63,16
24,20912.3,10.37,8675.72,1561.95,90.0,66,42
39,44909.96,23.03,196551.03,2880.43,87.39,66,27
42,27415.53,19.77,119259.14,1832.89,80.29,67,25
26,15000.0,10.98,9881.92,1112.75,89.3,65,39
29,23260.64,25.59,53574.59,1442.33,79.84,67,38
31,30687.37,16.76,56578.39,2128.66,76.34,62,31
42,28578.55,22.51,141516.28,1845.5,85.5,66,24
29,40582.45,12.54,45785.18,2957.93,75.0,64,35
49,23033.26,25.39,169626.54,1432.01,79.02,64,15
63,32852.99,11.61,163971.73,2419.97,89.43,63,0
30,20513.26,14.12,28964.07,1468.07,85.56,63,33
54,15940.52,14.79,80140.78,1131.95,77.68,64,10
51,15000.0,10.16,47247.12,1122.99,82.7,67,16
42,48206.21,26.86,284852.01,2938.2,81.52,64,22
24,15000.0,7.84,4702.32,1152.04,86.54,64,40
22,25009.8,19.08,9542.85,1686.53,83.9,63,41
25,27033.22,25.35,34269.71,1681.61,82.77,64,39
35,15000.0,19.52,43925.9,1005.97,81.82,62,27
39,34560.8,13.17,86497.32,2500.69,76.5,67,28
58,15000.0,24.53,139843.1,943.33,88.9,65,7
35,16484.2,17.48,43220.18,1133.57,84.09,66,31
28,35679.99,9.08,25904.59,2703.49,80.36,65,37
40,15000.0,12.92,38764.75,1088.48,80.72,66,26
32,33139.79,19.8,78734.16,2214.88,81.49,65,33
24,38479.91,21.47,33045.65,2518.21,77.89,66,42
58,37667.84,18.7,267714.92,2551.89,79.16,65,7
63,26560.71,11.8,134771.72,1952.21,86.92,65,2
59,15000.0,19.84,116086.32,1001.95,75.0,63,4
56,15000.0,13.31,71880.96,1083.61,90.0,63,7
35,17125.32,10.62,27288.41,1275.51,82.02,67,32
21,15000.0,28.64,4295.73,892.02,78.04,62,41
51,22283.62,12.87,88917.62,1617.94,80.27,65,14
29,20794.39,13.39,25060.28,1500.83,84.1,65,36
43,22878.27,27.42,144280.99,1383.77,79.59,66,23
46,19533.63,8.57,43511.25,1488.34,85.3,62,16
60,24060.98,19.61,188781.24,1611.79,76.69,65,5
64,22917.0,24.59,247980.63,1440.09,78.01,65,1
59,15000.0,11.84,69273.57,1101.98,83.22,66,7
38,25335.89,26.1,119037.25,1560.23,78.9,65,27
53,21795.43,24.24,174354.81,1376.0,90.0,65,12
61,15000.0,17.15,105486.96,1035.6,86.15,67,6
59,34455.12,7.97,107068.52,2642.48,84.56,64,5
34,18974.54,29.25,77707.84,1118.66,82.56,63,29
21,30267.06,20.61,6236.76,2002.53,80.27,66,45
33,21544.06,17.93,50209.93,1473.48,80.72,62,29
35,15000.0,27.14,61056.54,910.8,77.83,65,30
57,24965.73,15.53,143491.66,1757.3,83.06,65,8
25,28231.78,19.09,26948.7,1903.5,75.77,61,36
34,39548.08,26.46,146503.7,2423.63,89.29,63,29
34,34873.11,14.82,72375.75,2475.28,82.31,64,30
25,40101.07,24.31,48742.43,2529.38,88.85,64,39
31,31830.27,11.4,39927.22,2350.04,86.47,64,33
52,17226.04,22.56,124353.39,1111.67,81.65,65,13
25,17430.66,17.76,15479.19,1194.57,84.23,66,41
56,36115.19,9.12,118608.12,2735.04,79.87,63,7
35,18138.67,8.4,22855.23,1384.58,81.52,63,28
27,28707.62,16.44,33041.16,1998.95,78.12,65,38
25,51775.38,22.77,58949.32,3332.13,90.0,65,40
50,16172.06,20.08,97432.1,1077.03,82.94,66,16
35,31702.5,26.37,125390.31,1945.26,86.23,65,30
50,15000.0,14.74,66336.94,1065.73,79.81,64,14
34,29531.16,26.09,107869.89,1818.85,89.89,64,30
44,49357.58,5.93,70194.9,3869.4,78.38,67,23
44,43018.32,14.15,146039.78,3077.78,81.43,63,19
55,18168.58,6.82,43397.51,1410.72,79.64,64,9
25,48381.2,27.98,67687.97,2903.63,83.37,66,41
32,19685.2,16.88,39880.97,1363.48,78.55,64,32
40,69164.12,12.9,178497.53,5019.94,84.95,64,24
25,22386.44,17.31,19377.92,1542.57,83.32,64,39
56,30681.5,18.32,202363.33,2088.36,81.2,67,11
41,30218.77,26.16,165983.23,1859.57,76.67,65,24
59,15000.0,18.56,108580.06,1017.99,81.6,63,4
23,43832.6,15.78,20756.32,3076.15,81.47,66,43
49,24582.06,29.03,206976.48,1453.74,86.48,61,12
45,16681.41,29.21,121832.51,984.01,80.55,64,19
47,15128.77,5.96,24346.92,1185.59,77.1,67,20
56,16295.65,22.67,132998.75,1050.1,75.0,65,9
42,21195.07,14.29,66651.49,1513.79,87.75,66,24
58,15000.0,21.88,124715.95,976.5,81.11,67,9
55,15000.0,20.92,109846.06,988.46,83.64,66,11
21,15000.0,13.25,1987.89,1084.34,79.42,62,41
23,15000.0,29.67,13349.91,879.17,79.01,63,40
44,43572.79,13.93,145648.86,3125.34,81.52,64,20
28,40160.25,20.8,66825.18,2650.59,77.82,61,33
59,25210.86,25.33,249096.35,1568.65,80.16,65,6
38,63142.99,8.64,98161.62,4807.46,85.57,65,27
61,40433.73,12.51,207458.43,2947.81,85.51,65,4
23,27374.1,9.97,8191.14,2053.64,79.49,65,42
38,28904.49,24.55,127705.83,1817.48,80.85,64,26
36,23026.39,25.03,92216.85,1438.57,75.0,67,31
52,15000.0,11.4,54713.26,1107.52,75.0,66,14
21,19278.51,5.1,983.83,1524.56,79.43,65,44
46,15000.0,15.58,60776.67,1055.2,82.22,61,15
32,15000.0,22.18,39921.19,972.77,75.65,65,33
58,44090.26,20.56,344511.15,2918.68,85.52,65,7
41,22895.86,16.14,77615.21,1599.99,86.26,65,24
61,15000.0,12.55,77173.53,1093.14,77.78,64,3
33,28667.42,16.86,62832.06,1986.18,77.56,66,33
32,29797.59,5.38,19228.63,2349.6,84.06,64,32
33,47621.16,6.85,42386.62,3696.72,90.0,67,34
38,53591.21,9.07,87463.3,4061.01,79.91,62,24
39,32552.58,20.64,127628.08,2152.94,86.68,64,25
39,15000.0,10.47,29839.44,1119.13,81.87,63,24
26,68884.08,15.58,64411.32,4845.74,82.31,64,38
27,43333.99,20.54,62291.26,2869.6,81.06,64,37
27,33677.96,25.76,60738.52,2083.42,86.68,66,39
48,21843.61,18.74,114626.43,1479.15,90.0,63,15
48,15000.0,9.43,39598.28,1132.15,86.27,65,17
39,16647.01,28.79,91071.83,987.81,76.1,64,25
36,21472.83,7.25,24909.79,1659.66,80.73,65,29
37,18025.61,14.18,43446.34,1289.16,75.0,66,29
42,38052.73,28.03,234681.89,2282.11,90.0,64,22
39,21199.64,20.06,80793.6,1412.28,83.76,64,25
49,15000.0,21.57,93813.43,980.42,77.99,62,13
39,28292.8,12.54,67422.89,2062.02,83.31,65,26
55,15000.0,6.96,36558.19,1162.96,90.0,64,9
45,15000.0,14.14,53040.09,1073.2,77.82,66,21
40,28416.28,15.05,85555.36,2011.54,79.15,64,24
57,21242.33,11.76,92404.55,1562.08,76.13,67,10
39,23823.06,10.39,47016.14,1779.04,84.84,63,24
62,43831.93,13.89,255664.68,3145.39,81.3,63,1
33,24971.54,20.99,68124.98,1644.26,75.0,64,31
32,29278.16,28.73,100924.85,1738.98,83.69,63,31
35,22216.24,22.59,75294.8,1433.05,86.75,67,32
24,33023.97,24.49,32350.38,2078.03,79.34,65,41
35,15000.0,12.65,28466.27,1091.85,81.77,61,26
37,15000.0,7.62,19424.15,1154.78,80.99,65,28
47,18158.95,12.29,60246.23,1327.3,85.44,66,19
31,17331.53,15.07,28723.53,1226.69,75.0,62,31
43,15000.0,22.25,76752.27,971.91,78.72,65,22
35,21141.79,28.48,90330.31,1259.98,80.47,64,29
51,20581.75,25.23,160990.84,1282.38,85.85,65,14
46,21136.43,11.66,64077.25,1555.99,82.01,63,17
27,24348.59,25.51,43475.05,1511.49,75.45,65,38
33,28251.32,15.29,56168.62,1994.22,79.12,65,32
33,15000.0,9.39,18302.64,1132.68,88.3,65,32
40,16963.65,16.53,56086.36,1179.94,75.38,67,27
54,34939.19,19.08,226663.65,2356.05,87.14,67,13
30,15000.0,24.09,36127.69,948.94,86.68,61,31
57,15000.0,13.75,76298.14,1078.16,88.09,63,6
47,15000.0,8.67,35111.41,1141.63,87.5,64,17
54,19931.54,7.36,49868.81,1538.73,88.81,62,8
56,36281.67,7.81,102024.57,2787.3,75.0,65,9
36,28622.53,28.75,131666.31,1699.45,88.54,61,25
41,15000.0,28.79,90700.41,890.08,84.48,65,24
36,54536.02,29.22,254957.28,3216.77,79.14,61,25
37,15555.6,12.56,33220.2,1133.46,76.1,61,24
35,15000.0,9.79,22028.31,1127.62,82.15,66,31
33,54835.59,29.52,210457.46,3220.55,90.0,63,30
53,15000.0,29.71,147047.68,878.67,84.61,62,9
